trip_id,t1,t2
1246633,1510691456.7563965,1510690462.0809221
1246879,1510691764.651325,1510690755.26599
1247203,1510692059.245957,1510691107.3695014
1247294,1510692144.3245158,1510691403.7608635
1247509,1510692601.788145,1510691648.038968
1248157,1510693507.521857,1510692589.2871175
1248308,1510693972.4274037,1510693011.0377848
1248446,1510694079.8931224,1510693150.2661567
1248659,1510694165.675984,1510693125.605666
1248866,1510694440.707944,1510693389.1810434
1249120,1510694768.0541854,1510693726.673299
1249219,1510694838.6087332,1510693853.797139
1249639,1510695243.4608436,1510694365.9631977
1249901,1510695721.46364,1510694774.671373
1249925,1510695860.4510994,1510695088.8415544
1250192,1510696061.5874255,1510695162.2896657
1251876,1510697417.210507,1510696229.9426024
1250266,1510696279.8788083,1510695437.1336424
1250528,1510696612.7625394,1510695706.1738667
1250613,1510696742.9195857,1510695803.39928
1251018,1510697155.8511822,1510696039.8591006
1251088,1510697331.124561,1510696220.0822165
1251250,1510697517.434915,1510696444.7272336
1251417,1510697597.8269844,1510696668.7409124
1251530,1510698235.8017921,1510697039.915527
1252354,1510698959.9861593,1510697290.7905421
1252449,1510699044.5927627,1510696855.9181406
1252645,1510699272.503763,1510698147.9569616
1252998,1510699594.7722754,1510698437.8804405
1253622,1510700181.0142598,1510699294.047801
1253864,1510700654.0995848,1510699594.5897765
1253914,1510700733.2313583,1510699853.1227844
1254002,1510700934.6722212,1510700057.6874695
1254270,1510701155.5687335,1510700246.4008715
1255760,1510702397.2404575,1510703274.0087123
1256431,1510702751.0827801,1510703530.5442946
1256173,1510703157.5995061,1510702386.9747481
1258163,1510704926.3990293,1510703999.6498053
1257257,1510703842.8421097,1510704685.4619184
1257160,1510704644.6099474,1510703659.2007935
1258520,1510706009.8754475,1510705177.3768158
1272715,1510744214.540967,1510744884.6984248
1273679,1510745781.21312,1510744736.3715959
1272493,1510744894.1133308,1510744194.602932
1273642,1510746250.3671138,1510747075.7855997
1274633,1510746763.9610014,1510747596.4438791
1276413,1510748862.584503,1510749596.8523145
1276395,1510749427.6391943,1510748591.864103
1275664,1510748602.525931,1510749447.4306858
1278676,1510753309.0928528,1510752090.5763538
1279098,1510753577.5045202,1510752501.2652228
1279228,1510753723.4052458,1510752622.3742309
1279668,1510753640.781677,1510754601.7496886
1279433,1510753898.9994342,1510752936.4436696
1279914,1510754290.6715372,1510755271.9888177
1280395,1510754439.2968645,1510755366.8846757
1280138,1510754642.5314307,1510751915.3504543
1280204,1510754773.1160216,1510753671.7201633
1280443,1510755111.5910814,1510754043.0286808
1280942,1510755572.6068842,1510754502.0040212
1280748,1510754933.6285377,1510756005.5878816
1281041,1510755646.3502924,1510754769.78727
1281611,1510756040.2444987,1510756903.6472576
1283907,1510757609.7128847,1510758322.8535728
1281823,1510756805.8743825,1510755762.3303704
1281938,1510756876.0714798,1510755844.9529555
1282263,1510756953.9466927,1510756002.8790812
1291958,1510945826.7630427,1510944927.0546393
1293994,1510947252.3685896,1510947989.4086905
1293786,1510947635.8328526,1510948433.898869
1293673,1510947795.962297,1510948614.8005424
1293287,1510947757.6247816,1510947044.7765188
1293353,1510947980.8192842,1510947174.72615
1293494,1510948413.3279774,1510947540.1999848
1294102,1510948941.8866658,1510948243.3330524
1294292,1510949337.1171808,1510948430.5475667
1294818,1510949911.7115629,1510951063.3259375
1296888,1510951603.3177302,1510952404.8865547
1295341,1510950853.6256745,1510949891.9771495
1295566,1510951382.233492,1510950581.3363087
1295816,1510951572.3407147,1510949745.7491598
1296040,1510951702.9246395,1510950928.615037
1296126,1510952002.6474605,1510951128.4887729
1296514,1510951869.384788,1510952681.6103323
1296270,1510952164.3547926,1510951261.892664
1296577,1510952446.8202724,1510951609.487701
1296829,1510952334.8861105,1510953392.2864256
1296862,1510952848.9231524,1510952075.3253884
1296960,1510952950.5862064,1510952078.2528992
1296971,1510953063.2735338,1510952188.2142322
1298738,1510955644.1474867,1510954638.927926
1299053,1510955780.0888977,1510954915.0300567
1299255,1510955889.0441425,1510954986.4895718
1299704,1510956792.689045,1510955818.7837896
1301439,1510957677.466899,1510956636.4891913
